SZA;CTO;AOD
69.415;321.2567;0.0178
69.415;321.257;0.0179
69.415;321.257;0.0179
69.415;321.2774;0.0179
69.415;321.2762;0.0179
69.415;321.2746;0.0179
69.415;321.2943;0.0179
69.415;321.2895;0.0179
69.415;321.3102;0.0179
69.415;321.3076;0.0179
69.415;321.3065;0.0179
69.415;321.328;0.0179
69.415;321.3287;0.0179
69.415;321.3289;0.0179
69.415;321.352;0.0179
69.415;321.3537;0.018
69.415;321.3561;0.018
69.415;321.374;0.018
69.415;321.3733;0.018
69.415;321.3727;0.018
69.415;321.391;0.018
69.415;321.3915;0.018
69.415;321.4009;0.018
69.415;321.3977;0.018
69.415;321.3968;0.018
69.415;321.4107;0.018
69.415;321.4123;0.018
69.415;321.4119;0.018
69.415;321.4221;0.018
69.415;321.4233;0.018
69.415;321.4247;0.018
69.415;321.4353;0.018
69.415;321.4347;0.018
69.415;321.4364;0.0181
69.415;321.4395;0.0181
69.415;321.4403;0.0181
69.415;321.4388;0.0181
69.415;321.4414;0.0181
69.415;321.4451;0.0181
69.415;321.4416;0.0181
69.415;321.4486;0.0181
69.415;321.4519;0.0181
69.415;321.4468;0.0181
69.415;321.4464;0.0181
69.415;321.4527;0.0181
69.415;321.444;0.0181
69.415;321.4529;0.0181
69.415;321.4559;0.0181
69.415;321.4353;0.0182
69.415;321.3027;0.0183
69.415;321.2966;0.0183
69.415;321.2887;0.0184
69.415;321.3062;0.0184
69.415;321.3097;0.0184
69.415;321.3171;0.0184
69.415;321.3318;0.0184
69.415;321.3311;0.0184
69.415;321.3435;0.0184
69.415;321.3485;0.0184
68.416;321.7654;0.0186
68.416;321.7761;0.0186
68.416;321.7868;0.0186
68.416;321.7964;0.0186
68.416;321.8059;0.0186
68.416;321.8179;0.0186
68.416;321.8368;0.0186
68.416;321.8511;0.0187
68.416;321.8713;0.0187
68.416;321.8821;0.0188
68.416;321.8921;0.0188
68.416;321.9138;0.0189
68.416;321.9226;0.019
68.416;321.9304;0.019
68.416;321.9507;0.0191
68.416;321.9528;0.0191
68.416;321.9497;0.0191
68.416;321.958;0.0191
68.416;321.9533;0.0192
68.416;321.9481;0.0192
68.416;321.9512;0.0192
68.416;321.9454;0.0191
68.416;321.9392;0.0191
68.416;321.9318;0.0191
68.416;321.9153;0.019
68.416;321.8949;0.019
68.416;321.8768;0.0189
68.416;321.8584;0.0189
68.416;321.8229;0.0189
68.416;321.7954;0.0189
68.416;321.7794;0.0188
68.416;321.7596;0.0188
68.416;321.7552;0.0188
68.416;321.7393;0.0188
68.416;321.7018;0.0188
68.416;321.6903;0.0188
68.416;321.6822;0.0188
68.416;321.6459;0.0188
68.416;321.6376;0.0187
68.416;321.5962;0.0187
68.416;321.5863;0.0187
68.416;321.5747;0.0186
68.416;321.5274;0.0186
68.416;321.5268;0.0186
68.416;321.526;0.0186
68.416;321.4863;0.0186
68.416;321.4827;0.0185
68.416;321.4804;0.0185
68.416;321.4443;0.0185
68.416;321.4448;0.0185
68.416;321.4567;0.0185
68.416;321.4456;0.0185
68.416;321.469;0.0185
68.416;321.4448;0.0185
68.416;321.451;0.0185
68.416;321.4563;0.0185
68.416;321.4379;0.0185
68.416;321.4425;0.0185
68.416;321.4397;0.0185
68.416;321.4201;0.0185
68.416;321.4206;0.0184
68.416;321.4242;0.0184
68.416;321.4178;0.0184
68.416;321.4085;0.0184
68.416;321.4058;0.0184
68.416;321.4029;0.0184
68.416;321.4064;0.0184
68.416;321.4037;0.0184
68.416;321.4041;0.0184
68.416;321.4;0.0184
68.416;321.3982;0.0184
68.416;321.3976;0.0184
68.416;321.397;0.0184
68.416;321.3971;0.0184
68.416;321.3995;0.0184
68.416;321.4032;0.0185
68.416;321.4131;0.0185
68.416;321.4157;0.0185
68.416;321.4256;0.0185
68.416;321.4528;0.0185
68.416;321.416;0.0186
68.416;321.417;0.0186
68.416;321.4293;0.0187
68.416;321.4334;0.0187
68.416;321.4529;0.0187
68.416;321.4589;0.0187
68.416;321.4619;0.0188
68.416;321.48;0.0188
68.416;321.4834;0.0188
68.416;321.4873;0.0188
68.416;321.4974;0.0189
68.416;321.4987;0.0189
68.416;321.5;0.0189
68.416;321.5022;0.0189
68.416;321.5025;0.0188
68.416;321.499;0.0188
68.416;321.4945;0.0188
68.416;321.4856;0.0188
68.416;321.4758;0.0188
68.416;321.4631;0.0188
68.416;321.4532;0.0188
68.416;321.4493;0.0188
68.416;321.4479;0.0188
68.416;321.4396;0.0188
68.416;321.4304;0.0188
68.416;321.423;0.0188
68.416;321.4152;0.0188
68.416;321.4003;0.0188
68.416;321.3827;0.0189
68.416;321.365;0.0189
68.416;321.3436;0.0189
68.416;321.327;0.0189
68.416;321.3103;0.0189
68.416;321.293;0.0189
68.416;321.2787;0.0189
68.416;321.2616;0.0188
68.416;321.2536;0.0188
68.416;321.2495;0.0188
68.416;321.2379;0.0188
68.416;321.2298;0.0187
68.416;321.2192;0.0187
68.416;321.2036;0.0187
68.416;321.1904;0.0186
68.416;321.1865;0.0186
68.416;321.1766;0.0186
68.416;321.1733;0.0185
68.416;321.1741;0.0185
68.416;321.1704;0.0185
68.416;321.1738;0.0185
68.416;321.1752;0.0185
68.416;321.18;0.0185
68.416;321.1858;0.0184
68.416;321.1885;0.0184
68.416;321.1926;0.0184
68.416;321.197;0.0184
68.416;321.1973;0.0184
68.416;321.199;0.0184
68.416;321.1956;0.0184
68.416;321.193;0.0183
68.416;321.1946;0.0183
68.416;321.1947;0.0183
68.416;321.1891;0.0183
68.416;321.1873;0.0183
68.416;321.1821;0.0183
68.416;321.1794;0.0183
68.416;321.1748;0.0183
68.416;321.1655;0.0183
68.416;321.1588;0.0182
68.416;321.1596;0.0182
68.416;321.1587;0.0182
68.416;321.1582;0.0182
68.416;321.1564;0.0182
68.416;321.1517;0.0182
68.416;321.1478;0.0182
68.416;321.1487;0.0182
68.416;321.1434;0.0182
68.416;321.1405;0.0181
68.416;321.1376;0.0181
68.416;321.1242;0.0181
68.416;321.1225;0.0181
68.416;321.1068;0.0181
68.416;321.0983;0.0181
68.416;321.0894;0.0181
68.416;321.0668;0.0181
68.416;321.0528;0.0181
68.416;321.0457;0.0181
68.416;321.0331;0.0181
68.416;321.034;0.018
68.416;321.0316;0.018
68.416;321.033;0.018
68.416;321.1746;0.0179
68.416;321.1838;0.0179
68.416;321.1501;0.0179
68.416;321.1303;0.0179
68.416;321.1088;0.0179
68.416;321.0995;0.0179
68.416;321.0849;0.0179
68.416;321.0571;0.0179
68.416;321.0343;0.0179
68.416;321.0236;0.0179
68.416;321.0065;0.0178
68.416;320.9964;0.0178
68.416;320.9866;0.0178
68.416;320.9638;0.0178
68.416;320.9348;0.0178
68.416;320.9154;0.0178
68.416;320.9019;0.0178
68.416;320.8815;0.0178
68.416;320.868;0.0178
68.416;320.8578;0.0178
68.416;320.8523;0.0178
68.416;320.8474;0.0178
68.416;320.8373;0.0178
68.416;320.8287;0.0178
68.416;320.8258;0.0178
68.416;320.8234;0.0178
68.416;320.8186;0.0178
68.416;320.8137;0.0178
68.416;320.8159;0.0178
68.416;320.8117;0.0178
68.416;320.8047;0.0177
68.416;320.7972;0.0177
68.416;320.79;0.0177
68.416;320.781;0.0177
68.416;320.7771;0.0177
68.416;320.7758;0.0177
68.416;320.7733;0.0178
68.416;320.7708;0.0178
68.416;320.774;0.0178
68.416;320.7774;0.0178
68.416;320.777;0.0178
68.416;320.7729;0.0178
68.416;320.7687;0.0178
68.416;320.7682;0.0178
68.416;320.767;0.0177
68.416;320.7602;0.0177
68.416;320.7481;0.0177
68.416;320.7367;0.0178
68.416;320.7237;0.0178
68.416;320.7135;0.0178
68.416;320.7058;0.0178
68.416;320.7031;0.0178
68.416;320.7041;0.0178
68.416;320.6938;0.0178
68.416;320.6837;0.0178
68.416;320.6849;0.0178
68.416;320.6872;0.0178
68.416;320.6892;0.0178
68.416;320.6977;0.0178
68.416;320.7005;0.0178
68.416;320.7019;0.0178
68.416;320.7089;0.0178
68.416;320.7089;0.0178
68.416;320.7191;0.0178
68.416;320.7204;0.0178
68.416;320.7236;0.0178
68.416;320.7387;0.0177
68.416;320.7441;0.0177
68.416;320.7426;0.0177
68.416;320.7519;0.0177
68.416;320.7521;0.0177
68.416;320.7539;0.0177
68.416;320.7664;0.0177
68.416;320.7664;0.0177
68.416;320.7666;0.0177
68.416;320.776;0.0177
68.416;320.7733;0.0177
68.416;320.7706;0.0177
68.416;320.7877;0.0177
68.416;320.7931;0.0177
68.416;320.8108;0.0177
68.416;320.8187;0.0177
68.416;320.8266;0.0177
68.416;320.8403;0.0177
68.416;320.8434;0.0177
68.416;320.848;0.0177
68.416;320.8634;0.0177
68.416;320.8697;0.0177
68.416;320.8831;0.0177
68.416;320.9087;0.0177
68.416;320.96;0.0179
68.416;320.973;0.0179
68.416;320.987;0.0179
68.416;320.9957;0.0179
